# Climatic indices calculated with observation-based data (precipitation and temperature) and with simulation-based data (potential evapotranspiration). Only years with complete hydrological year are used (5% missing values are tolerated per hydrological year).
gauge_id,ind_start_date,ind_end_date,ind_number_of_years,p_mean,pet_mean,aridity,p_seasonality,frac_snow,high_prec_freq,high_prec_dur,high_prec_timing,low_prec_freq,low_prec_dur,low_prec_timing
5020,1994-10-01,2018-09-30,19,4.477,2.052,0.458,NaN,NaN,20.265,1.146,jja,223.708,4.071,son
5021,1981-10-01,2011-09-30,23,4.476,1.681,0.376,-0.05,0.146,16.958,1.185,djf,203.583,3.615,son
5022,2011-10-01,2018-09-30,7,4.456,1.942,0.436,-0.066,0.419,18.141,1.198,djf,217.122,3.8,NaN
5023,1981-10-01,2018-09-30,26,4.893,1.643,0.336,0.003,0.261,18.847,1.181,djf,215.896,3.906,son
5024,1981-10-01,2020-09-30,39,4.108,1.588,0.387,-0.029,0.121,18.077,1.207,son,212.073,3.78,son
5025,2011-10-01,2018-09-30,7,4.213,1.674,0.397,-0.045,0.613,19.284,1.154,djf,215.693,3.813,son
5026,1981-10-01,2018-09-30,34,4.899,1.635,0.334,-0.008,0.315,18.999,1.181,djf,217.55,3.897,son
5027,1986-10-01,2018-09-30,25,4.457,1.446,0.324,0.024,0.611,19.841,1.207,NaN,220.566,3.999,djf
5028,1981-10-01,1988-09-30,7,5.8,1.516,0.261,-0.042,0.341,19.57,1.123,NaN,214.55,3.736,son
5029,1993-10-01,2014-09-30,16,4.484,1.542,0.344,0.086,0.227,19.75,1.162,NaN,218.438,3.875,son
5030,1993-10-01,2017-09-30,20,4.296,1.703,0.396,-0.019,0.12,16.152,1.145,djf,202.528,3.581,son
5031,1982-10-01,2018-09-30,30,4.686,1.133,0.242,-0.015,0.623,20.369,1.22,djf,219.53,3.89,djf
5032,1981-10-01,2018-09-30,37,4.239,1.67,0.394,-0.02,0.128,15.595,1.175,son,201.085,3.654,son
6001,2003-10-01,2009-09-30,6,3.676,0.856,0.233,0.269,0.528,18.163,1.362,mam,238.779,4.593,djf
6002,2013-10-01,2018-09-30,4,4.159,1.519,0.365,0.128,0.494,17.0,1.236,mam,224.5,3.991,djf
6003,2013-10-01,2018-09-30,5,3.854,1.889,0.49,0.012,0.45,20.003,1.316,mam,236.032,4.538,djf
6004,2003-10-01,2017-09-30,11,3.915,1.861,0.475,0.29,0.262,21.999,1.44,mam,260.711,5.558,djf
6005,2003-10-01,2018-09-30,15,3.944,1.739,0.441,0.221,0.37,20.466,1.402,mam,238.589,4.513,djf
6006,2013-10-01,2018-09-30,5,4.02,1.769,0.44,0.07,0.408,20.003,1.333,mam,229.031,4.06,djf
6007,2000-10-01,2018-09-30,18,4.058,1.83,0.451,0.228,0.379,20.168,1.418,son,237.351,4.545,djf
6008,2002-10-01,2018-09-30,16,4.742,2.544,0.536,NaN,NaN,22.5,1.475,son,251.688,5.355,djf
6009,2003-10-01,2017-09-30,14,5.446,2.327,0.427,NaN,NaN,22.641,1.468,son,254.475,5.44,djf
6010,2007-10-01,2012-09-30,5,5.953,2.584,0.434,NaN,NaN,21.591,1.5,son,253.096,5.627,djf
6011,2014-10-01,2019-09-30,4,4.797,2.398,0.5,0.272,0.11,21.5,1.536,NaN,234.75,4.791,djf
