# Soil attributes based on EU-SoilHydroGrids (3D soil hydraulic database of Europe) and European Soil Database Derived data (Europe, 1km resolution, soil topological units; ESDD)
gauge_id,sand_perc,sand_perc_5,sand_perc_25,sand_perc_50,sand_perc_75,sand_perc_90,sand_perc_skewness,sand_perc_missing,silt_perc,silt_perc_5,silt_perc_25,silt_perc_50,silt_perc_75,silt_perc_90,silt_perc_skewness,silt_perc_missing,clay_perc,clay_perc_5,clay_perc_25,clay_perc_50,clay_perc_75,clay_perc_90,clay_perc_skewness,clay_perc_missing,organic_perc,organic_perc_5,organic_perc_25,organic_perc_50,organic_perc_75,organic_perc_90,organic_perc_skewness,organic_perc_missing,bulk_dens,bulk_dens_5,bulk_dens_25,bulk_dens_50,bulk_dens_75,bulk_dens_90,bulk_dens_skewness,bulk_dens_missing,tot_avail_water,tot_avail_water_5,tot_avail_water_25,tot_avail_water_50,tot_avail_water_75,tot_avail_water_90,tot_avail_water_skewness,tot_avail_water_missing,root_depth,root_depth_5,root_depth_25,root_depth_50,root_depth_75,root_depth_90,root_depth_skewness,root_depth_missing,coarse_fragm_perc,coarse_fragm_perc_5,coarse_fragm_perc_25,coarse_fragm_perc_50,coarse_fragm_perc_75,coarse_fragm_perc_90,coarse_fragm_perc_skewness,coarse_fragm_perc_missing,porosity,porosity_5,porosity_25,porosity_50,porosity_75,porosity_90,porosity_skewness,porosity_missing,conductivity,conductivity_5,conductivity_25,conductivity_50,conductivity_75,conductivity_90,conductivity_skewness,conductivity_missing
2066,74.232,57.453,68.942,74.465,77.612,84.769,-0.029,37.93,16.826,9.408,13.621,16.889,21.924,28.428,-0.011,37.93,8.941,5.369,8.728,9.42,10.06,14.629,-0.191,37.93,0.899,0.429,0.436,0.749,1.313,1.543,0.267,37.93,1.599,1.45,1.572,1.588,1.598,1.697,0.181,37.93,57.605,17.175,35.607,68.705,71.724,98.697,-0.319,37.93,0.485,0.012,0.06,0.195,1.003,1.241,0.521,0.0,12.611,2.788,3.734,13.838,17.254,20.251,-0.162,37.93,44.263,21.892,39.257,49.183,51.037,52.382,-0.522,4.44,28.605,26.639,27.333,27.712,38.438,48.163,0.122,4.44
2067,65.939,37.948,46.166,72.787,76.792,87.605,-0.415,29.9,21.493,8.395,14.324,19.181,32.231,37.618,0.23,29.9,12.569,4.88,8.928,9.84,19.305,24.07,0.398,29.9,1.018,0.426,0.441,0.874,1.405,2.129,0.252,29.9,1.518,1.281,1.386,1.569,1.589,1.736,-0.355,29.9,64.59,17.462,42.914,69.635,102.797,113.319,-0.142,29.9,0.591,0.016,0.078,0.45,1.176,1.275,0.25,0.0,10.922,2.828,4.005,11.316,16.069,20.122,-0.056,29.9,43.829,21.582,38.333,47.725,49.346,51.441,-0.476,1.65,31.112,26.613,27.402,28.273,30.855,62.464,0.22,1.65
2068,70.172,40.428,62.785,72.969,78.239,87.662,-0.185,20.03,19.185,8.338,12.282,17.712,26.245,36.117,0.152,20.03,10.643,4.244,8.479,9.411,11.475,23.486,0.211,20.03,0.989,0.421,0.442,0.827,1.41,1.8,0.291,20.03,1.576,1.369,1.544,1.587,1.592,1.737,-0.095,20.03,59.166,16.333,34.556,68.487,85.688,105.39,-0.283,20.03,0.656,0.021,0.12,0.572,1.194,1.279,0.15,0.0,11.423,2.629,3.679,12.531,16.998,20.199,-0.148,20.03,48.881,39.78,47.487,50.501,51.663,52.972,-0.36,0.17,30.147,27.063,27.524,28.116,28.863,57.768,0.172,0.17
2070,46.273,26.177,39.692,43.679,56.994,73.034,0.17,0.0,34.35,16.095,28.435,35.191,35.904,48.963,-0.079,0.0,19.377,8.634,14.199,20.617,23.718,26.831,-0.203,0.0,1.572,0.416,0.514,0.588,0.735,1.693,0.184,0.0,1.396,1.253,1.371,1.406,1.497,1.569,-0.049,0.0,107.131,87.307,95.42,105.196,110.23,128.817,0.08,0.0,1.285,1.147,1.181,1.221,1.26,1.292,1.138,0.0,8.486,2.465,3.35,4.955,16.469,16.832,0.572,0.0,48.202,46.09,46.955,48.078,49.359,50.678,0.083,0.0,28.593,4.186,11.408,27.425,53.982,75.125,0.047,0.0
2072,73.278,53.239,67.74,73.812,77.142,85.026,-0.058,36.65,17.558,9.402,13.72,17.604,22.86,29.709,-0.007,36.65,9.163,5.251,8.727,9.438,10.119,17.307,-0.082,36.65,0.887,0.429,0.438,0.8,1.326,1.523,0.181,36.65,1.595,1.403,1.57,1.588,1.598,1.701,0.088,36.65,56.699,16.814,33.803,68.458,72.902,98.933,-0.325,36.65,0.493,0.012,0.061,0.197,1.027,1.245,0.521,0.0,12.435,2.767,3.655,13.847,17.488,20.298,-0.178,36.65,44.084,22.0,39.55,50.076,51.349,52.408,-0.623,8.33,28.556,26.618,27.305,27.656,37.247,47.948,0.121,8.33
2073,74.515,58.118,69.302,74.633,77.748,84.927,-0.015,41.26,16.598,9.375,13.534,16.746,21.666,28.223,-0.026,41.26,8.887,5.297,8.607,9.364,9.976,14.206,-0.179,41.26,0.946,0.429,0.437,0.818,1.371,2.311,0.22,41.26,1.601,1.464,1.575,1.588,1.602,1.7,0.192,41.26,54.8,16.839,33.927,67.024,70.429,97.729,-0.355,41.26,0.438,0.011,0.055,0.154,0.895,1.233,0.523,0.0,13.003,2.83,4.685,14.061,17.47,20.294,-0.141,41.26,43.956,21.871,39.187,49.794,51.219,52.397,-0.597,5.4,28.009,26.615,27.307,27.671,37.365,47.487,0.065,5.4
2074,62.195,37.699,43.021,66.435,77.595,87.595,-0.225,13.2,23.479,8.378,13.118,20.307,34.667,38.401,0.274,13.2,14.325,4.388,8.956,13.342,20.451,25.671,0.122,13.2,1.017,0.387,0.452,0.731,1.441,2.037,0.465,13.2,1.511,1.288,1.386,1.527,1.59,1.736,-0.112,13.2,70.41,21.982,43.126,70.556,97.893,110.328,-0.005,13.2,0.804,0.035,0.312,1.124,1.237,1.36,-0.596,0.0,9.946,2.664,3.396,9.434,16.424,20.892,0.079,13.2,48.339,39.939,46.669,49.267,51.135,52.643,-0.227,4.27,36.812,27.069,27.795,27.957,28.12,81.623,0.392,4.27
2078,73.263,49.105,69.613,73.602,77.396,85.359,-0.032,13.66,17.37,9.349,13.636,17.356,22.728,30.981,0.002,13.66,9.367,5.099,8.676,9.463,10.249,19.747,-0.023,13.66,0.928,0.428,0.437,0.841,1.379,1.542,0.169,13.66,1.592,1.484,1.564,1.587,1.6,1.705,0.049,13.66,55.815,17.112,35.291,65.361,71.519,100.927,-0.277,13.66,0.669,0.026,0.148,0.595,1.094,1.259,0.132,0.0,12.348,2.813,4.022,13.442,17.153,20.231,-0.142,13.66,44.722,22.101,39.082,48.159,49.404,51.166,-0.462,3.39,32.609,26.781,27.446,30.993,42.726,77.088,0.108,3.39
2079,84.105,73.738,76.692,80.385,84.077,87.031,0.583,0.55,10.654,8.719,10.673,13.115,15.558,17.512,-0.583,0.55,5.24,4.25,5.25,6.5,7.75,8.75,-0.583,0.55,0.951,0.833,0.952,1.102,1.251,1.37,-0.583,0.55,1.701,1.597,1.627,1.664,1.701,1.73,0.583,0.55,54.578,15.361,26.535,40.503,54.471,65.646,0.583,0.55,0.997,0.039,0.267,0.611,0.956,1.231,0.738,0.0,8.044,4.631,8.077,12.385,16.692,20.138,-0.583,0.55,48.839,47.609,48.391,48.643,49.405,50.077,0.216,0.0,29.896,29.323,35.581,43.404,51.226,57.485,-1.666,0.0
2081,46.907,38.974,40.497,41.227,44.222,72.114,0.46,10.37,31.311,14.17,34.422,34.867,35.509,37.87,-0.371,10.37,21.782,16.064,20.102,21.204,24.843,25.389,0.161,10.37,0.939,0.334,0.578,0.594,0.677,0.72,0.094,10.37,1.401,1.368,1.378,1.4,1.416,1.507,0.012,10.37,93.686,81.399,95.046,95.449,97.089,106.475,-0.177,10.37,1.151,0.254,0.77,1.091,1.352,1.47,0.143,0.0,13.101,5.105,11.331,13.944,16.611,16.861,-0.187,10.37,45.942,43.797,44.961,45.903,46.746,48.195,0.03,7.43,53.462,8.876,50.98,54.17,69.137,96.606,-0.025,7.43
2082,46.202,36.762,40.431,41.144,44.198,73.189,0.417,5.95,31.41,11.041,32.56,34.73,35.644,38.06,-0.365,5.95,22.388,15.222,20.035,24.363,25.21,27.522,-0.443,5.95,3.811,0.35,0.503,0.59,0.718,18.701,0.302,5.95,1.313,0.898,1.372,1.384,1.417,1.522,-0.216,5.95,91.725,64.273,94.771,95.463,99.737,109.175,-0.236,5.95,1.093,0.235,0.747,1.048,1.328,1.466,0.114,0.0,11.228,4.344,5.37,12.165,15.999,16.854,-0.177,5.95,45.217,43.219,44.426,45.188,45.922,47.285,0.024,4.77,61.404,8.749,52.993,54.245,74.784,120.113,0.248,4.77
2084,64.82,39.429,44.292,68.913,76.187,83.136,-0.265,10.08,21.696,9.858,13.841,17.657,32.375,37.433,0.402,10.08,13.484,5.506,9.695,12.684,16.935,25.863,0.129,10.08,0.657,0.38,0.431,0.519,0.775,1.357,0.408,10.08,1.52,1.359,1.427,1.533,1.578,1.679,-0.116,10.08,86.905,52.566,72.695,92.175,105.594,113.336,-0.211,10.08,1.056,0.043,1.046,1.191,1.246,1.289,-0.298,0.0,8.766,2.725,4.266,7.798,14.301,17.908,0.17,10.08,50.007,46.838,48.256,50.772,51.794,53.255,-0.288,0.71,20.256,4.185,11.406,27.381,29.814,52.28,-0.456,0.71
2085,58.506,37.908,41.191,53.949,74.643,81.648,0.256,20.07,25.689,9.969,16.026,25.845,34.899,37.631,-0.014,20.07,15.805,5.953,9.235,14.941,24.094,27.242,0.113,20.07,1.322,0.396,0.446,0.638,0.994,1.664,0.164,20.07,1.445,1.279,1.375,1.419,1.549,1.662,0.127,20.07,94.474,40.951,84.238,100.423,109.476,113.384,-0.196,20.07,0.954,0.024,0.525,1.19,1.256,1.376,-0.435,0.0,8.585,2.663,4.741,5.005,13.13,17.298,0.628,20.07,46.918,39.817,45.257,47.424,49.37,51.861,-0.122,2.58,41.488,2.962,27.498,30.789,57.99,94.536,0.359,2.58
2086,72.145,43.069,70.219,74.227,77.442,87.584,-0.171,21.68,17.866,8.415,12.958,17.173,22.528,35.406,0.088,21.68,9.989,5.307,9.01,9.342,9.761,22.173,0.138,21.68,1.004,0.42,0.438,0.883,1.401,1.499,0.233,21.68,1.584,1.385,1.585,1.588,1.591,1.736,-0.04,21.68,50.671,15.26,26.033,48.905,70.6,101.962,0.054,21.68,0.539,0.019,0.093,0.302,1.01,1.242,0.446,0.0,13.904,2.663,4.628,15.483,18.269,20.454,-0.219,21.68,48.688,39.607,47.907,50.967,52.013,53.07,-0.43,0.27,28.766,26.642,27.353,27.664,37.252,48.128,0.124,0.27
2087,76.652,66.082,73.573,76.415,78.815,85.855,0.033,34.78,15.077,8.951,11.834,14.906,17.724,23.927,0.033,34.78,8.27,4.873,8.103,9.126,9.595,10.38,-0.371,34.78,0.951,0.429,0.436,0.77,1.211,2.172,0.304,34.78,1.617,1.559,1.587,1.589,1.617,1.712,0.435,34.78,54.538,17.19,35.681,68.56,70.25,96.477,-0.446,34.78,0.506,0.013,0.063,0.217,1.018,1.244,0.52,0.0,12.781,2.89,6.204,12.934,17.416,20.283,-0.021,34.78,48.385,39.727,40.994,52.016,53.033,54.191,-0.547,1.0,27.584,26.474,27.176,27.408,27.64,45.798,0.084,1.0
2088,65.474,37.897,56.437,72.21,74.949,80.098,-0.444,8.16,21.386,10.926,15.155,17.715,27.919,37.251,0.372,8.16,13.14,6.464,9.209,10.481,14.865,27.155,0.403,8.16,1.133,0.384,0.436,0.776,1.286,1.656,0.125,8.16,1.499,1.274,1.428,1.54,1.588,1.642,-0.246,8.16,78.649,25.996,69.877,87.637,105.999,113.297,-0.236,8.16,0.923,0.039,0.657,1.166,1.233,1.287,-0.46,0.0,9.888,2.672,4.565,8.111,14.873,19.881,0.259,8.16,49.98,46.593,48.755,50.514,51.309,52.21,-0.297,2.61,22.146,2.573,3.345,27.407,30.7,64.729,-0.271,2.61
2091,52.625,36.253,40.385,43.491,69.607,79.156,0.525,10.98,28.751,8.509,16.725,34.442,35.411,43.922,-0.5,10.98,18.625,6.96,12.517,19.749,24.363,27.385,-0.145,10.98,1.209,0.372,0.451,0.591,0.86,2.104,0.158,10.98,1.43,1.282,1.374,1.415,1.522,1.628,0.091,10.98,89.705,42.84,76.695,95.453,107.082,113.381,-0.203,10.98,1.014,0.044,0.758,1.199,1.26,1.38,-0.381,0.0,9.85,2.766,4.532,9.266,15.391,18.038,0.098,10.98,46.68,41.168,44.434,46.715,49.262,51.874,-0.009,3.67,49.592,2.803,27.193,28.111,73.093,135.065,0.537,3.67
2093,68.492,41.337,60.834,72.983,76.829,84.426,-0.301,37.5,20.181,9.405,14.376,16.345,26.345,37.496,0.383,37.5,11.327,5.058,8.169,9.637,14.692,19.949,0.297,37.5,0.844,0.396,0.461,0.744,1.08,1.407,0.11,37.5,1.506,1.358,1.359,1.521,1.588,1.696,-0.111,37.5,90.287,32.544,73.172,104.777,112.08,113.354,-0.513,37.5,0.74,0.013,0.065,1.157,1.229,1.286,-0.664,0.0,6.889,2.701,4.208,4.819,8.39,18.318,0.394,37.5,47.295,38.961,46.593,48.702,50.535,52.559,-0.25,5.1,29.774,3.16,27.339,28.753,31.249,73.973,0.061,5.1
2097,42.45,37.861,40.5,40.9,43.843,52.931,0.297,9.94,34.958,28.09,34.579,35.251,35.691,38.086,-0.109,9.94,22.592,15.842,20.566,24.104,24.961,25.495,-0.424,9.94,1.852,0.475,0.58,0.613,0.713,0.72,0.184,9.94,1.362,1.365,1.376,1.385,1.408,1.476,-0.109,9.94,95.353,68.128,95.417,95.729,105.48,110.755,-0.024,9.94,1.096,0.211,0.737,1.057,1.339,1.468,0.089,0.0,11.418,4.151,5.405,12.989,16.591,16.857,-0.284,9.94,45.629,44.054,44.985,45.619,46.2,47.226,0.011,8.61,51.45,5.792,48.86,55.106,69.273,81.831,-0.129,8.61
2099,59.665,37.431,41.092,63.965,72.797,81.281,-0.259,15.68,24.596,9.283,16.292,24.823,34.568,37.628,-0.022,15.68,15.739,6.1,10.072,14.378,23.953,26.651,0.189,15.68,1.173,0.366,0.437,0.585,0.746,1.416,0.138,15.68,1.469,1.358,1.383,1.52,1.547,1.656,-0.28,15.68,88.546,33.738,84.194,95.424,105.269,112.902,-0.258,15.68,0.987,0.03,0.763,1.199,1.264,1.411,-0.404,0.0,9.347,2.707,4.513,8.313,14.81,18.671,0.173,15.68,48.553,41.075,47.067,49.215,50.886,52.307,-0.189,5.64,27.484,2.654,3.751,28.171,30.412,70.065,-0.032,5.64
2101,55.247,37.239,41.31,43.157,72.493,86.829,0.656,8.29,28.239,8.729,16.52,32.027,34.905,42.488,-0.312,8.29,16.514,4.606,10.087,17.382,23.464,24.263,-0.121,8.29,1.183,0.4,0.519,1.38,1.608,2.038,-0.304,8.29,1.439,1.285,1.296,1.4,1.547,1.726,0.258,8.29,67.217,32.294,44.011,60.806,97.375,109.164,0.215,8.29,0.773,0.055,0.381,0.76,1.121,1.264,0.026,0.0,9.531,2.652,4.415,9.58,11.96,16.973,-0.01,8.29,48.348,46.222,47.063,47.957,49.423,51.532,0.231,8.09,33.795,2.577,3.362,29.688,54.217,86.205,0.135,8.09
2102,65.462,37.875,56.256,72.211,74.973,80.258,-0.443,8.13,21.389,10.87,15.132,17.714,27.976,37.249,0.371,8.13,13.149,6.415,9.208,10.48,14.877,27.154,0.404,8.13,1.131,0.384,0.436,0.773,1.285,1.656,0.125,8.13,1.499,1.274,1.428,1.54,1.588,1.644,-0.245,8.13,78.685,26.039,69.876,87.636,106.003,113.296,-0.236,8.13,0.924,0.039,0.661,1.166,1.233,1.287,-0.459,0.0,9.875,2.673,4.561,8.102,14.836,19.877,0.259,8.13,49.964,46.569,48.737,50.51,51.308,52.208,-0.301,2.6,22.249,2.573,3.346,27.417,30.741,66.101,-0.265,2.6
2104,71.161,42.615,69.444,72.795,76.634,84.061,-0.142,23.44,17.392,8.182,12.979,16.278,18.193,36.782,0.145,23.44,11.447,5.197,8.78,10.34,14.513,21.413,0.219,23.44,0.902,0.313,0.416,0.517,0.984,1.343,0.142,23.44,1.531,1.36,1.512,1.534,1.588,1.691,-0.02,23.44,79.615,28.16,70.253,86.9,103.335,113.257,-0.238,23.44,0.844,0.02,0.098,1.068,1.22,1.415,-0.38,0.0,9.023,2.987,4.59,7.804,11.82,19.792,0.201,23.44,49.073,40.184,48.474,50.415,51.33,52.937,-0.307,3.23,25.287,2.888,27.144,27.669,29.328,31.882,-0.192,3.23
2105,74.458,58.353,69.342,74.609,77.636,84.736,-0.019,39.05,16.612,9.407,13.595,16.74,21.631,28.152,-0.022,39.05,8.93,5.384,8.705,9.393,10.006,14.057,-0.182,39.05,0.919,0.429,0.436,0.775,1.341,1.545,0.253,39.05,1.6,1.466,1.574,1.588,1.599,1.697,0.184,39.05,55.665,16.952,34.491,68.559,70.499,97.983,-0.375,39.05,0.461,0.012,0.058,0.178,0.935,1.235,0.517,0.0,13.049,2.823,4.698,14.108,17.429,20.286,-0.142,39.05,43.963,21.847,39.203,49.374,51.163,52.394,-0.554,4.77,28.163,26.616,27.311,27.683,37.704,47.676,0.083,4.77
2106,42.816,25.858,37.66,42.452,43.242,72.375,0.03,0.0,34.581,13.742,32.439,34.459,41.613,43.897,0.015,0.0,22.603,15.087,18.939,21.676,23.94,34.943,0.108,0.0,1.373,0.475,0.62,1.204,1.449,1.992,0.058,0.0,1.364,1.247,1.292,1.387,1.412,1.511,-0.175,0.0,94.92,47.841,85.462,100.696,113.26,122.066,-0.213,0.0,1.149,0.493,1.16,1.207,1.253,1.291,-0.184,0.0,7.386,3.505,4.777,6.68,9.641,14.132,0.201,0.0,46.566,43.927,45.201,46.387,47.771,49.734,0.1,0.0,53.419,4.607,13.515,54.654,74.717,126.99,-0.03,0.0
2109,68.071,45.16,62.386,72.659,76.863,85.09,-0.301,50.43,21.05,9.441,15.405,16.414,29.312,36.983,0.449,50.43,10.879,4.765,7.489,9.27,14.663,18.586,0.306,50.43,0.748,0.394,0.468,0.686,0.965,1.198,0.198,50.43,1.511,1.364,1.393,1.518,1.588,1.708,-0.056,50.43,96.868,68.883,84.291,105.504,113.249,113.362,-0.401,50.43,0.631,0.01,0.049,0.098,0.688,1.178,0.821,0.0,5.007,2.789,3.788,4.781,5.455,9.357,0.073,50.43,46.951,38.378,41.347,49.701,51.293,53.281,-0.388,1.04,27.264,22.32,27.242,27.603,29.562,32.102,-0.047,1.04
2110,60.87,36.327,41.997,65.859,74.432,83.254,-0.277,21.05,24.357,9.817,15.642,22.733,34.598,37.953,0.138,21.05,14.773,5.465,9.433,13.676,20.751,26.923,0.151,21.05,0.916,0.383,0.44,0.628,0.929,1.618,0.126,21.05,1.487,1.336,1.385,1.517,1.58,1.681,-0.19,21.05,87.75,30.167,72.954,95.426,106.281,113.38,-0.261,21.05,0.908,0.023,0.203,1.181,1.252,1.371,-0.486,0.0,9.003,2.721,4.305,7.203,14.235,18.679,0.302,21.05,48.425,40.041,46.701,49.655,51.407,53.056,-0.273,4.63,27.297,2.678,15.631,28.362,31.595,69.31,-0.052,4.63
2112,56.51,33.834,38.65,44.214,74.938,77.514,0.648,14.23,27.573,13.909,15.855,34.47,35.811,52.628,-0.527,14.23,15.917,7.1,8.815,15.199,22.43,27.197,0.09,14.23,1.439,0.427,0.632,1.022,1.446,1.696,0.119,14.23,1.389,1.217,1.301,1.418,1.463,1.606,-0.156,14.23,104.495,82.944,90.316,106.865,113.246,113.389,-0.131,14.23,1.066,0.175,1.064,1.184,1.242,1.288,-0.266,0.0,5.826,2.647,4.69,4.777,5.946,16.086,0.272,14.23,49.576,47.494,48.64,49.762,50.549,51.729,-0.111,0.0,11.871,2.737,4.165,5.949,27.265,29.728,0.481,0.0
2113,53.9,36.562,40.581,43.664,71.857,79.087,0.596,13.14,27.969,10.284,16.433,34.428,35.188,41.317,-0.585,13.14,18.131,6.982,12.145,19.675,24.325,27.065,-0.206,13.14,1.423,0.373,0.497,0.601,0.768,1.682,0.164,13.14,1.424,1.228,1.376,1.412,1.524,1.628,0.06,13.14,94.476,47.878,85.995,95.766,106.503,114.093,-0.047,13.14,1.049,0.037,1.104,1.206,1.263,1.39,-0.326,0.0,9.46,2.776,4.766,8.742,14.151,16.918,0.13,13.14,46.89,42.206,44.711,46.761,49.432,51.974,0.036,4.07,46.097,2.759,27.262,30.639,69.294,120.171,0.431,4.07
2116,51.842,35.147,37.961,43.051,69.407,79.221,0.494,9.19,29.223,8.516,16.825,34.458,35.567,43.969,-0.443,9.19,18.935,6.513,12.725,19.685,24.578,27.387,-0.093,9.19,0.989,0.357,0.449,0.564,0.91,2.163,0.175,9.19,1.439,1.289,1.365,1.412,1.52,1.64,0.194,9.19,84.663,35.015,68.823,95.396,108.754,113.279,-0.373,9.19,0.972,0.052,0.54,1.19,1.255,1.366,-0.443,0.0,10.172,2.88,3.768,9.744,15.808,19.154,0.067,9.19,46.521,40.456,44.032,46.83,49.211,51.839,-0.08,3.42,52.26,2.839,27.473,28.076,74.892,143.256,0.55,3.42
2117,72.594,42.22,65.831,74.38,78.837,85.921,-0.129,63.18,17.576,9.204,13.052,16.5,23.915,34.08,0.128,63.18,9.83,4.432,6.615,9.203,10.164,23.906,0.109,63.18,1.103,0.38,0.489,0.902,1.427,2.376,0.317,63.18,1.584,1.293,1.567,1.589,1.647,1.721,-0.035,63.18,51.706,17.656,38.01,54.902,70.328,103.728,-0.108,63.18,0.274,0.008,0.038,0.077,0.306,1.2,0.414,0.0,11.988,2.956,4.932,11.808,17.519,20.304,0.025,63.18,42.408,21.361,38.463,48.163,50.572,53.315,-0.526,4.43,30.164,26.411,27.194,27.63,38.039,59.797,0.214,4.43
2118,71.19,42.69,69.446,72.797,76.636,84.065,-0.14,23.45,17.375,8.182,12.977,16.277,18.153,36.716,0.143,23.45,11.435,5.196,8.778,10.336,14.507,21.177,0.218,23.45,0.902,0.313,0.416,0.516,0.984,1.343,0.143,23.45,1.531,1.36,1.512,1.534,1.588,1.691,-0.02,23.45,79.621,28.15,70.258,86.9,103.343,113.257,-0.238,23.45,0.844,0.02,0.098,1.068,1.22,1.415,-0.38,0.0,9.023,2.986,4.59,7.806,11.815,19.793,0.2,23.45,49.074,40.184,48.479,50.415,51.331,52.937,-0.306,3.24,25.283,2.889,27.147,27.669,29.327,31.391,-0.193,3.24
2119,57.209,38.133,41.008,46.977,74.032,78.235,0.578,8.02,26.581,12.462,16.036,29.221,34.975,37.486,-0.231,8.02,16.211,6.736,9.453,15.221,23.745,27.101,0.129,8.02,1.513,0.423,0.506,0.653,1.2,1.694,0.188,8.02,1.429,1.227,1.375,1.422,1.554,1.632,0.032,8.02,94.171,36.445,83.521,104.741,109.999,113.38,-0.32,8.02,1.057,0.055,1.027,1.184,1.242,1.288,-0.292,0.0,8.199,2.646,4.741,4.836,13.75,17.737,0.585,8.02,47.308,44.328,46.031,47.462,48.789,50.087,-0.075,0.35,39.961,3.575,26.355,31.179,61.224,80.078,0.306,0.35
2122,48.472,28.368,37.777,43.045,62.478,76.992,0.326,0.0,31.271,13.243,15.932,33.59,37.964,42.793,-0.203,0.0,20.257,7.412,16.395,19.556,22.654,31.817,0.074,0.0,1.171,0.487,0.702,1.106,1.516,1.966,0.112,0.0,1.403,1.245,1.289,1.396,1.446,1.577,0.059,0.0,87.926,51.512,82.391,94.661,105.643,113.38,-0.279,0.0,1.12,0.644,1.155,1.203,1.252,1.29,-0.25,0.0,6.466,3.03,4.764,6.012,8.144,9.447,0.195,0.0,47.805,45.338,46.436,47.751,48.974,50.542,0.033,0.0,23.123,3.441,7.686,12.992,52.28,68.858,0.38,0.0
2125,47.291,36.641,40.449,41.212,48.174,67.779,0.513,16.04,32.04,19.308,27.807,34.563,35.129,37.76,-0.37,16.04,20.669,10.895,16.984,24.176,24.812,25.423,-0.594,16.04,1.079,0.391,0.446,0.58,0.616,0.72,0.112,16.04,1.411,1.365,1.377,1.385,1.459,1.548,0.168,16.04,96.637,71.18,95.427,97.577,104.758,108.858,-0.074,16.04,1.055,0.155,1.016,1.139,1.262,1.442,-0.171,0.0,10.632,2.751,4.765,11.395,14.582,16.764,-0.144,16.04,47.292,43.415,45.907,47.307,48.78,51.115,-0.007,15.44,36.769,2.93,5.131,29.758,57.137,109.055,0.196,15.44
2126,41.687,40.426,40.591,40.854,42.243,45.093,0.32,0.0,34.774,28.453,34.573,34.87,35.166,35.587,-0.095,0.0,23.539,19.621,22.792,24.263,24.698,25.063,-0.309,0.0,0.605,0.519,0.579,0.589,0.631,0.701,0.244,0.0,1.389,1.375,1.379,1.384,1.394,1.445,0.196,0.0,97.317,80.351,95.439,97.058,101.727,107.85,0.025,0.0,1.279,0.54,0.7,0.9,1.1,1.26,2.93,0.0,13.051,5.367,11.487,13.941,15.476,16.624,-0.22,0.0,45.754,43.208,44.408,46.055,46.976,48.086,-0.192,0.0,56.847,9.177,50.827,55.524,69.307,125.076,0.041,0.0
2130,52.771,36.262,40.385,43.491,69.954,79.166,0.533,11.14,28.673,8.508,16.619,34.441,35.39,43.92,-0.506,11.14,18.556,6.921,12.361,19.732,24.368,27.385,-0.152,11.14,1.211,0.371,0.45,0.591,0.854,2.099,0.157,11.14,1.431,1.283,1.374,1.414,1.523,1.629,0.096,11.14,89.673,42.727,76.577,95.454,107.116,113.375,-0.204,11.14,1.013,0.043,0.753,1.199,1.259,1.38,-0.382,0.0,9.848,2.761,4.531,9.269,15.377,18.089,0.097,11.14,46.703,41.083,44.448,46.777,49.309,51.891,-0.02,3.72,49.191,2.797,27.191,28.102,69.84,135.066,0.528,3.72
2132,44.061,39.46,40.608,41.084,43.809,69.48,0.344,0.0,33.587,16.271,30.779,34.805,35.271,36.887,-0.191,0.0,22.353,15.168,19.991,24.084,24.531,25.029,-0.487,0.0,0.584,0.389,0.528,0.583,0.632,0.702,0.006,0.0,1.403,1.375,1.381,1.389,1.417,1.521,0.307,0.0,98.394,87.079,95.406,95.477,102.348,108.827,0.355,0.0,1.294,0.54,0.7,0.9,1.1,1.26,5.8,0.0,12.365,5.102,10.596,12.871,15.556,16.771,-0.113,0.0,45.3,42.913,43.794,45.021,46.672,48.113,0.156,0.0,69.453,10.728,50.512,69.007,79.695,135.427,0.013,0.0
2135,63.744,38.421,43.731,70.46,76.058,83.636,-0.394,31.26,22.855,9.682,15.404,17.661,34.58,37.528,0.476,31.26,13.401,5.325,8.531,11.54,19.21,26.669,0.268,31.26,1.097,0.391,0.443,0.681,1.013,1.461,0.13,31.26,1.478,1.358,1.377,1.45,1.583,1.686,0.164,31.26,92.68,36.235,82.538,99.049,111.384,113.373,-0.216,31.26,0.826,0.016,0.078,1.173,1.237,1.287,-0.57,0.0,7.94,2.664,4.386,4.861,11.402,17.944,0.543,31.26,47.112,39.128,45.736,48.253,50.196,52.329,-0.22,4.25,33.859,3.047,27.384,29.391,32.183,79.461,0.196,4.25
2137,42.511,37.448,40.436,40.844,43.787,54.159,0.269,5.3,34.587,27.232,34.457,35.176,35.72,37.813,-0.184,5.3,22.903,15.249,20.687,24.318,25.225,26.682,-0.349,5.3,2.84,0.467,0.581,0.627,0.719,15.781,0.248,5.3,1.332,0.919,1.372,1.384,1.406,1.485,-0.191,5.3,92.334,64.874,95.405,95.759,104.623,108.603,-0.192,5.3,1.087,0.238,0.745,1.037,1.318,1.464,0.129,0.0,10.816,3.624,4.956,12.237,16.514,16.841,-0.25,5.3,45.741,44.215,45.095,45.675,46.307,47.403,0.073,5.68,46.284,4.767,14.314,54.547,69.032,81.674,-0.27,5.68
