# Soil attributes based on EU-SoilHydroGrids (3D soil hydraulic database of Europe) and European Soil Database Derived data (Europe, 1km resolution, soil topological units; ESDD)
gauge_id,sand_perc,sand_perc_5,sand_perc_25,sand_perc_50,sand_perc_75,sand_perc_90,sand_perc_skewness,sand_perc_missing,silt_perc,silt_perc_5,silt_perc_25,silt_perc_50,silt_perc_75,silt_perc_90,silt_perc_skewness,silt_perc_missing,clay_perc,clay_perc_5,clay_perc_25,clay_perc_50,clay_perc_75,clay_perc_90,clay_perc_skewness,clay_perc_missing,organic_perc,organic_perc_5,organic_perc_25,organic_perc_50,organic_perc_75,organic_perc_90,organic_perc_skewness,organic_perc_missing,bulk_dens,bulk_dens_5,bulk_dens_25,bulk_dens_50,bulk_dens_75,bulk_dens_90,bulk_dens_skewness,bulk_dens_missing,tot_avail_water,tot_avail_water_5,tot_avail_water_25,tot_avail_water_50,tot_avail_water_75,tot_avail_water_90,tot_avail_water_skewness,tot_avail_water_missing,root_depth,root_depth_5,root_depth_25,root_depth_50,root_depth_75,root_depth_90,root_depth_skewness,root_depth_missing,coarse_fragm_perc,coarse_fragm_perc_5,coarse_fragm_perc_25,coarse_fragm_perc_50,coarse_fragm_perc_75,coarse_fragm_perc_90,coarse_fragm_perc_skewness,coarse_fragm_perc_missing,porosity,porosity_5,porosity_25,porosity_50,porosity_75,porosity_90,porosity_skewness,porosity_missing,conductivity,conductivity_5,conductivity_25,conductivity_50,conductivity_75,conductivity_90,conductivity_skewness,conductivity_missing
2021,54.197,37.307,41.619,45.258,70.643,86.367,0.513,8.21,28.812,9.094,17.752,34.078,35.475,41.497,-0.475,8.21,16.99,4.615,10.389,19.202,23.161,24.286,-0.304,8.21,1.059,0.405,0.529,0.777,1.498,2.036,0.484,8.21,1.447,1.286,1.297,1.418,1.546,1.719,0.209,8.21,72.155,32.182,44.906,85.669,98.773,109.75,-0.447,8.21,0.847,0.056,0.406,1.003,1.152,1.27,-0.324,0.0,10.59,2.646,3.871,10.51,15.746,20.051,0.014,8.21,47.849,45.794,46.672,47.429,48.862,50.987,0.256,6.51,44.48,2.713,26.697,44.91,69.853,94.433,-0.013,6.51
2022,62.195,37.699,43.021,66.435,77.595,87.595,-0.225,13.2,23.479,8.378,13.118,20.307,34.667,38.401,0.274,13.2,14.325,4.388,8.956,13.342,20.451,25.671,0.122,13.2,1.017,0.387,0.452,0.731,1.441,2.037,0.465,13.2,1.511,1.288,1.386,1.527,1.59,1.736,-0.112,13.2,70.41,21.982,43.126,70.556,97.893,110.328,-0.005,13.2,0.804,0.035,0.312,1.124,1.237,1.36,-0.596,0.0,9.946,2.664,3.396,9.434,16.424,20.892,0.079,13.2,48.339,39.939,46.669,49.267,51.135,52.643,-0.227,4.27,36.812,27.069,27.795,27.957,28.12,81.623,0.392,4.27
2023,71.494,45.805,68.338,73.933,77.657,85.519,-0.182,52.04,18.181,9.021,12.679,16.08,19.561,37.385,0.231,52.04,10.325,4.719,7.624,9.223,13.818,18.554,0.221,52.04,0.811,0.385,0.459,0.743,1.027,1.326,0.183,52.04,1.531,1.362,1.414,1.534,1.596,1.71,-0.025,52.04,87.493,32.518,70.216,87.815,111.657,113.34,-0.011,52.04,0.571,0.009,0.047,0.094,1.123,1.265,0.748,0.0,6.775,2.896,4.167,4.829,8.489,17.539,0.386,52.04,47.203,38.72,41.45,49.971,51.481,53.215,-0.409,6.61,26.276,3.351,27.241,27.668,29.985,32.245,-0.152,6.61
2024,67.231,36.297,50.157,72.988,77.563,87.64,-0.333,43.49,21.172,8.36,13.781,17.822,30.626,40.545,0.303,43.49,11.596,4.322,8.289,9.365,14.388,24.017,0.34,43.49,0.97,0.425,0.445,0.805,1.329,2.278,0.295,43.49,1.55,1.359,1.409,1.586,1.592,1.736,-0.287,43.49,66.194,16.593,42.76,69.856,103.12,114.561,-0.1,43.49,0.495,0.011,0.054,0.168,1.055,1.251,0.564,0.0,10.905,2.665,3.958,9.888,17.032,20.159,0.14,43.49,45.478,22.546,40.788,48.082,50.382,53.317,-0.323,5.41,36.093,26.676,27.525,29.245,31.682,81.097,0.321,5.41
2025,73.882,50.71,68.538,73.556,79.17,86.015,0.03,40.44,16.558,8.847,11.573,16.286,19.006,33.1,0.038,40.44,9.56,4.572,7.261,9.602,11.873,15.248,-0.01,40.44,0.757,0.374,0.429,0.611,0.897,1.377,0.314,40.44,1.584,1.359,1.532,1.578,1.621,1.715,0.058,40.44,75.306,23.504,68.934,73.718,102.68,112.55,0.053,40.44,0.644,0.012,0.059,0.393,1.135,1.267,0.401,0.0,8.605,2.736,3.909,6.485,11.578,19.109,0.337,40.44,47.851,39.302,41.182,50.988,52.152,53.673,-0.475,4.52,26.116,5.651,27.25,27.624,29.679,32.074,-0.199,4.52
2026,57.341,20.521,40.391,59.05,76.63,87.583,-0.08,33.23,24.922,8.385,15.087,25.56,34.644,43.04,-0.057,33.23,17.737,4.476,9.111,14.319,24.228,44.255,0.287,33.23,1.129,0.379,0.451,0.698,1.373,2.23,0.165,33.23,1.474,1.252,1.373,1.44,1.588,1.736,0.198,33.23,74.496,20.995,44.385,74.324,104.704,113.342,0.005,33.23,0.637,0.015,0.073,0.482,1.207,1.281,0.262,0.0,10.351,2.658,4.174,9.741,15.591,20.59,0.092,33.23,45.923,37.384,44.197,47.639,49.712,52.408,-0.263,9.73,43.833,23.478,27.701,30.319,66.839,120.124,0.43,9.73
2027,57.341,20.521,40.391,59.05,76.63,87.583,-0.08,33.23,24.922,8.385,15.087,25.56,34.644,43.04,-0.057,33.23,17.737,4.476,9.111,14.319,24.228,44.255,0.287,33.23,1.129,0.379,0.451,0.698,1.373,2.23,0.165,33.23,1.474,1.252,1.373,1.44,1.588,1.736,0.198,33.23,74.496,20.995,44.385,74.324,104.704,113.342,0.005,33.23,0.637,0.015,0.073,0.482,1.207,1.281,0.262,0.0,10.351,2.658,4.174,9.741,15.591,20.59,0.092,33.23,45.923,37.384,44.197,47.639,49.712,52.408,-0.263,9.73,43.833,23.478,27.701,30.319,66.839,120.124,0.43,9.73
2028,57.341,20.521,40.391,59.05,76.63,87.583,-0.08,33.23,24.922,8.385,15.087,25.56,34.644,43.04,-0.057,33.23,17.737,4.476,9.111,14.319,24.228,44.255,0.287,33.23,1.129,0.379,0.451,0.698,1.373,2.23,0.165,33.23,1.474,1.252,1.373,1.44,1.588,1.736,0.198,33.23,74.496,20.995,44.385,74.324,104.704,113.342,0.005,33.23,0.637,0.015,0.073,0.482,1.207,1.281,0.262,0.0,10.351,2.658,4.174,9.741,15.591,20.59,0.092,33.23,45.923,37.384,44.197,47.639,49.712,52.408,-0.263,9.73,43.833,23.478,27.701,30.319,66.839,120.124,0.43,9.73
2029,55.03,37.107,40.682,43.672,72.854,79.123,0.655,15.8,27.594,11.234,16.145,34.425,35.213,43.072,-0.616,15.8,17.376,6.836,10.093,19.223,24.276,27.134,-0.25,15.8,1.815,0.392,0.517,0.638,0.965,1.826,0.196,15.8,1.414,1.242,1.374,1.413,1.525,1.629,0.003,15.8,95.768,47.841,84.509,96.894,108.229,113.903,-0.037,15.8,1.01,0.031,0.907,1.198,1.259,1.375,-0.374,0.0,8.978,2.717,4.761,8.053,13.373,16.835,0.172,15.8,46.739,41.348,44.821,46.836,49.075,51.299,-0.027,4.82,46.743,2.767,27.274,32.069,69.536,120.517,0.402,4.82
2030,68.366,41.244,59.035,72.957,76.795,84.409,-0.306,37.39,20.251,9.411,14.467,16.366,26.7,37.491,0.387,37.39,11.383,5.066,8.187,9.664,14.81,20.531,0.299,37.39,0.843,0.396,0.463,0.743,1.083,1.421,0.11,37.39,1.505,1.358,1.359,1.52,1.588,1.696,-0.109,37.39,90.333,32.648,73.287,104.788,112.141,113.36,-0.513,37.39,0.742,0.013,0.065,1.158,1.229,1.286,-0.662,0.0,6.914,2.673,4.186,4.818,8.359,18.307,0.398,37.39,47.286,38.967,46.561,48.689,50.533,52.555,-0.249,5.08,30.015,3.163,27.351,28.823,31.292,75.148,0.069,5.08
