# Hydrogeological attributes derived from the hydrogeologic map of Switzerland by Swisstopo
gauge_id,unconsol_coarse_perc,unconsol_medium_perc,unconsol_fine_perc,unconsol_imperm_perc,hardrock_perc,hardrock_imperm_perc,karst_perc,water_perc,null_perc,ext_area_perc
5016,0.0,0.0,6.61,0.0,17.3,8.23,67.86,0.0,0.0,0.0
5017,0.0,1.45,3.78,6.84,36.99,9.22,41.72,0.0,0.0,0.0
5018,0.0,2.62,78.462,1.36,0.0,3.69,13.869,0.0,0.0,0.0
5019,0.0,1.29,19.53,0.0,29.94,11.35,37.89,0.0,0.0,0.0
5020,0.0,2.47,15.298,0.0,4.74,59.144,18.348,0.0,0.0,0.0
5021,0.01,2.31,10.96,3.33,2.07,0.0,80.37,0.94,0.0,0.01
5022,0.0,4.46,12.86,0.0,20.16,30.91,31.52,0.08,0.0,0.01
5023,0.0,1.79,13.06,0.0,4.08,40.99,39.97,0.11,0.0,0.0
5024,0.0,0.0,18.63,0.0,41.6,0.0,39.76,0.0,0.0,0.01
5025,0.0,5.189,13.269,0.0,46.565,13.609,10.229,11.119,0.02,0.0
5026,0.0,5.25,4.69,0.0,1.04,52.0,36.76,0.26,0.0,0.0
5027,0.0,5.08,12.43,0.0,47.48,16.15,4.9,13.93,0.03,0.0
5028,0.0,0.0,26.2,0.0,33.5,17.35,22.95,0.0,0.0,0.0
5029,0.0,0.0,15.968,0.0,0.55,33.557,49.865,0.06,0.0,0.0
5030,0.0,1.6,9.27,2.31,5.88,1.06,79.05,0.83,0.0,0.0
5031,0.0,3.86,3.28,0.0,55.86,9.22,0.41,27.36,0.0,0.01
5032,0.0,1.28,7.41,2.11,6.8,2.27,79.42,0.7,0.0,0.01
6001,0.0,0.0,10.77,0.0,40.84,36.7,0.0,11.69,0.0,0.0
6002,0.0,0.0,8.1,0.0,66.46,22.52,0.0,2.92,0.0,0.0
6003,0.01,0.0,9.01,0.0,47.02,42.53,0.27,1.16,0.0,0.0
6004,0.0,0.0,10.92,0.0,64.07,25.0,0.01,0.0,0.0,0.0
6005,1.31,0.03,7.888,0.0,43.411,43.601,1.45,2.31,0.0,0.0
6006,0.0,0.0,6.869,0.0,32.957,55.004,1.75,3.42,0.0,0.0
6007,3.92,0.02,7.119,0.0,44.216,42.026,0.9,1.8,0.0,0.0
6008,2.4,0.0,11.51,0.0,28.02,50.26,0.0,7.81,0.0,0.0
6009,0.33,0.0,0.0,0.0,48.97,50.7,0.0,0.0,0.0,0.0
6010,2.71,0.0,6.65,0.0,33.06,55.58,0.0,0.02,1.98,0.0
6011,3.15,1.42,9.07,0.09,36.35,39.31,4.99,5.08,0.39,0.15
