date,discharge_vol_sim(m3/s),discharge_spec_sim(mm/d),precipitation_sim(mm/d),temperature_sim(degC),radiation_sim(W/m2),sun_duration_sim(h),wind_sim(m/s),rel_humidity_sim(%),pet_sim(mm/d),et_sim(mm/d),intercept_et_sim(mm/d),intercept_storage_sim(mm)
1981-01-01,0.409,0.64,1.23,-6.98,54.66,1.78,3.87,0.64,0.48,0.48,0.48,0.53
1981-01-02,0.409,0.64,4.25,-8.64,50.73,1.26,2.99,0.86,0.0,0.0,0.0,0.56
1981-01-03,0.409,0.64,11.92,-1.02,36.11,0.45,2.37,0.68,0.21,0.21,0.21,0.56
1981-01-04,0.409,0.64,12.94,-4.87,29.3,0.05,2.39,0.83,0.02,0.02,0.02,0.56
1981-01-05,0.403,0.63,13.93,-14.43,26.8,0.0,3.93,0.93,0.01,0.01,0.01,0.56
1981-01-06,0.403,0.63,18.67,-13.55,20.86,0.0,1.56,0.96,0.0,0.0,0.0,0.56
1981-01-07,0.396,0.62,3.26,-16.93,46.78,0.41,1.66,0.88,0.0,0.0,0.0,0.56
1981-01-08,0.39,0.61,0.0,-18.77,83.25,5.6,2.28,0.76,0.0,0.0,0.0,0.56
1981-01-09,0.39,0.61,0.0,-12.71,49.95,0.74,2.36,0.67,0.14,0.14,0.14,0.53
1981-01-10,0.384,0.6,0.01,-8.07,48.64,0.0,0.7,0.76,0.07,0.07,0.07,0.51
1981-01-11,0.384,0.6,0.0,-11.17,68.69,2.28,0.41,0.93,0.0,0.0,0.0,0.51
1981-01-12,0.377,0.59,0.0,-13.96,93.06,5.91,1.72,0.78,0.0,0.0,0.0,0.51
1981-01-13,0.371,0.58,0.0,-11.99,48.2,0.05,2.89,0.79,0.26,0.26,0.26,0.44
1981-01-14,0.371,0.58,0.0,-14.95,84.7,5.55,1.68,0.87,0.0,0.0,0.0,0.44
1981-01-15,0.365,0.57,7.73,-9.66,39.61,0.49,2.91,0.76,0.28,0.28,0.28,0.56
1981-01-16,0.365,0.57,1.44,-15.01,62.61,1.57,2.21,0.86,0.0,0.0,0.0,0.56
1981-01-17,0.358,0.56,5.36,-10.53,65.51,2.07,1.44,0.89,0.0,0.0,0.0,0.56
1981-01-18,0.358,0.56,2.88,-11.7,52.55,0.54,1.17,0.98,0.0,0.0,0.0,0.56
1981-01-19,0.352,0.55,11.34,-9.71,36.2,0.04,1.24,0.9,0.0,0.0,0.0,0.56
1981-01-20,0.352,0.55,10.32,-10.97,39.18,0.27,1.46,0.94,0.0,0.0,0.0,0.56
1981-01-21,0.345,0.54,0.41,-15.08,99.95,5.55,1.48,0.91,0.0,0.0,0.0,0.56
1981-01-22,0.345,0.54,0.0,-15.97,109.2,6.31,1.05,0.72,0.0,0.0,0.0,0.56
1981-01-23,0.339,0.53,0.0,-12.22,110.19,6.31,1.54,0.48,0.0,0.0,0.0,0.56
1981-01-24,0.339,0.53,0.0,-8.84,108.93,6.37,1.02,0.49,0.0,0.0,0.0,0.56
1981-01-25,0.333,0.52,0.0,-7.36,108.46,5.68,1.15,0.51,0.02,0.02,0.02,0.56
1981-01-26,0.333,0.52,0.0,-10.23,59.33,2.35,1.35,0.77,0.02,0.02,0.02,0.55
1981-01-27,0.326,0.51,0.0,-13.53,114.98,6.45,0.92,0.49,0.04,0.04,0.04,0.54
1981-01-28,0.326,0.51,0.0,-8.83,77.4,2.28,2.06,0.49,0.48,0.48,0.48,0.42
1981-01-29,0.32,0.5,0.0,-13.31,119.7,6.53,1.17,0.52,0.12,0.12,0.12,0.4
1981-01-30,0.32,0.5,0.0,-10.31,119.28,6.57,1.39,0.51,0.17,0.17,0.17,0.37
1981-01-31,0.313,0.49,0.0,-8.46,118.81,6.62,1.15,0.52,0.16,0.16,0.16,0.35
1981-02-01,0.313,0.49,0.0,-6.08,119.9,6.65,0.88,0.53,0.16,0.16,0.16,0.33
1981-02-02,0.313,0.49,0.0,-6.47,123.58,6.67,0.87,0.54,0.2,0.2,0.2,0.31
1981-02-03,0.307,0.48,0.0,-5.46,93.21,2.93,1.05,0.58,0.44,0.44,0.44,0.24
1981-02-04,0.307,0.48,4.65,-8.19,56.24,0.53,0.8,0.99,0.14,0.14,0.14,0.59
1981-02-05,0.301,0.47,3.02,-13.46,75.22,2.08,2.18,0.91,0.0,0.0,0.0,0.59
