basin_id,dd,f_thr,su_max,beta,perc,kf,ki,kb,NSE_testing
27003,1.010167,23.830606,298.41367,4.4917555,0.81168526,3.6218925,4.6832156,193.35364,0.8
27007,1.5973289,27.46776,229.42465,3.5957606,0.8950227,2.4492018,3.7275393,57.69644,0.71
27021,3.757,36.802,279.183,4.281,0.694,3.429,3.931,161.223,0.734
27034,2.2496352,29.071264,67.17995,5.8201346,0.8016915,1.8363165,2.6007774,66.435745,0.78
27041,2.6265543,30.89225,423.71042,5.993118,0.7244348,8.27884,9.087964,990.32666,0.82
27071,1.1849337,35.452984,301.93018,4.3960276,0.8642596,9.505169,4.964921,196.33684,0.72
27080,1.471,24.847,146.6,2.1,0.741,1.998,3.947,47.28,0.814
28015,1.3350699,59.635406,633.34784,5.9996033,0.364758,17.810768,7.836205,997.2465,0.05
28018,2.508,28.267,282.664,5.933,0.653,3.725,4.335,111.07,0.754
28024,5.9475446,43.659943,282.8453,5.9969773,0.92189044,9.312466,4.107151,971.8692,0.71
28067,2.3083575,49.150833,482.5305,5.977897,0.7559877,4.2996874,6.2097907,997.0257,0.71
28080,8.952873,57.34118,51.003704,1.0044607,0.4903827,16.792055,2.2796655,95.88905,0.67
28085,5.013186,58.481434,531.3264,5.995245,0.7328193,19.988016,6.33768,998.4366,0.77
33022,8.401253,45.170036,397.41492,5.9926887,0.50912076,9.496946,5.1787114,538.0946,0.72
33034,4.879738,46.795364,502.04456,5.9966273,0.5812902,12.640034,13.656198,999.81177,0.71
33039,9.959889,42.741745,358.84033,5.9886293,0.86444825,8.039108,7.186591,906.329,0.74
36006,9.657243,46.69618,317.13046,5.9986577,0.6532685,5.068134,5.9603043,996.9575,0.68
38001,7.6559615,41.656666,672.85504,5.998342,0.48084,3.5281384,4.308277,999.10736,0.5
39002,9.967251,40.69758,375.52722,5.9989147,0.8551498,19.868856,11.859786,998.50653,0.85
39008,4.0243025,45.123585,413.71927,5.999346,0.84058887,11.055757,13.448492,988.8208,0.86
39010,9.5369835,55.6406,697.2814,5.9999614,0.2855357,3.4726672,18.503078,999.74365,0.07
39016,9.294413,47.485725,644.8088,5.998936,0.6783046,16.722588,29.476305,994.8275,0.72
39021,9.849868,47.921406,420.34256,5.998964,0.72035635,7.300956,9.7446785,999.41235,0.73
39034,7.3786488,57.15947,350.30374,5.995963,0.82663393,5.860984,11.616561,996.97687,0.84
40003,9.542,42.945,404.377,5.947,0.741,6.191,3.78,948.267,0.559
42004,0.008510417,43.487427,573.8466,5.94464,0.5083274,3.5201528,44.046875,992.1301,0.68
43007,4.049282,55.732735,459.17953,5.9699435,0.59767145,12.707507,6.040238,45.11335,0.76
43008,6.016794,56.17109,698.9484,5.99942,0.70163393,3.486709,28.298365,997.12537,0.47
43009,1.5459396,35.53549,316.4821,5.955779,0.9042567,13.453461,3.7029388,967.9627,0.71
44001,1.7668486,59.45563,656.32056,5.99358,0.6433706,9.0205345,21.875082,985.9813,0.88
