# Supplementary geological attributes as rock type percentages based on the map of main lithologies across Switzerland (Swiss Geological Map by Swisstopo) and the map of molasse layers on the Swiss plateau (GeoMol by Swisstopo)
gauge_id,osm,omm,usm,api,amk,sus,dup,sal,oos,mpk,aap,fju,hes,mps,ups,ops,tie,ukd,uod,ood,qua
2073,0.0,0.0,0.0,0.0,0.0,0.0,44.65,0.0,9.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.1,0.0,5.5
2074,0.0,0.0,0.0,0.0,32.41,0.86,2.05,26.93,1.25,14.36,0.0,0.0,0.0,0.4,0.83,0.0,0.14,8.94,0.0,0.04,11.79
2078,0.0,0.0,0.0,0.0,0.0,0.0,17.75,0.0,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.67,28.95,0.92
2079,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2081,89.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.21
2082,93.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.72
2084,0.0,0.0,11.34,0.0,0.0,2.68,0.0,0.0,0.04,0.0,0.0,0.0,70.43,0.76,0.0,5.39,0.0,0.0,0.0,0.02,9.34
2085,0.24,18.11,11.13,16.08,0.0,4.19,0.0,0.0,3.4,0.0,0.0,0.0,15.3,13.76,8.16,4.81,0.0,0.0,0.0,0.0,4.81
2086,0.0,0.0,0.0,0.0,54.92,12.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.12,0.0,0.0,24.08,0.0,0.0,2.32
2087,0.0,0.0,0.0,22.73,76.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44
2088,0.0,0.0,0.0,0.0,0.0,7.29,0.0,0.0,0.0,0.0,0.0,0.0,61.11,2.73,0.0,25.26,0.0,0.0,0.0,0.0,3.6
2091,18.32,8.93,13.09,6.6,1.92,2.7,0.0,0.0,1.38,0.69,6.73,5.33,9.46,2.96,5.94,1.45,0.08,0.46,0.66,5.03,8.28
2093,0.0,0.0,1.16,33.22,0.0,5.78,0.0,0.0,4.04,0.0,0.0,0.0,28.91,9.61,11.22,0.71,0.0,0.0,0.0,0.0,5.36
2097,81.5,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9
2099,13.17,3.22,13.9,10.79,0.0,8.41,0.0,0.0,0.08,0.0,0.0,0.0,34.91,0.07,0.18,3.97,0.0,0.0,0.0,0.04,11.27
2101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.87
2102,0.0,0.0,0.0,0.0,0.0,7.32,0.0,0.0,0.0,0.0,0.0,0.0,61.19,2.72,0.0,25.17,0.0,0.0,0.0,0.0,3.59
2104,0.0,0.0,0.77,22.1,0.0,12.64,0.0,0.0,0.0,0.0,0.0,0.0,59.42,0.0,0.37,0.0,0.0,0.0,0.0,0.0,4.7
2105,0.0,0.0,0.0,0.0,0.0,0.0,39.45,0.0,8.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.08,0.0,4.86
2106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.36,93.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2109,0.0,0.0,0.0,50.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36
2110,10.07,3.41,8.72,24.02,5.07,4.76,0.0,0.0,0.0,0.0,0.0,0.0,30.7,1.64,0.0,5.34,0.0,0.0,0.0,0.0,6.27
2112,0.0,0.0,42.72,0.0,0.0,14.08,0.0,0.0,0.0,0.0,0.0,0.0,42.49,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.19
2113,9.78,14.82,17.0,10.16,0.83,3.28,0.0,0.0,0.99,0.0,0.46,10.13,13.92,4.26,2.38,2.82,0.0,0.0,0.0,0.01,9.16
2116,28.83,2.88,9.49,3.02,3.23,2.19,0.0,0.0,1.88,1.5,8.78,0.0,5.03,1.69,10.24,0.0,0.17,0.99,1.43,10.9,7.76
2117,0.0,0.0,0.0,0.0,0.0,0.0,21.57,0.0,22.62,51.48,0.0,0.0,0.0,3.53,0.01,0.0,0.0,0.0,0.0,0.0,0.79
2118,0.0,0.0,0.75,22.11,0.0,12.65,0.0,0.0,0.0,0.0,0.0,0.0,59.45,0.0,0.37,0.0,0.0,0.0,0.0,0.0,4.68
2119,0.0,22.5,9.02,0.39,0.0,4.67,0.0,0.0,5.91,0.0,0.0,0.0,4.96,30.4,11.2,9.9,0.0,0.0,0.0,0.0,1.05
2122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2125,25.73,6.09,49.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.33
2126,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2130,18.57,9.05,13.28,6.7,1.94,2.73,0.0,0.0,1.39,0.7,5.56,5.27,9.59,3.0,6.03,1.47,0.08,0.46,0.67,5.1,8.4
