# Supplementary soil attributes based on ISRIC-World Soil Information product SoilGrid (global coverage)
gauge_id,sg_sand_perc,sg_sand_perc_5,sg_sand_perc_25,sg_sand_perc_50,sg_sand_perc_75,sg_sand_perc_90,sg_sand_perc_skewness,sg_sand_perc_missing,sg_silt_perc,sg_silt_perc_5,sg_silt_perc_25,sg_silt_perc_50,sg_silt_perc_75,sg_silt_perc_90,sg_silt_perc_skewness,sg_silt_perc_missing,sg_clay_perc,sg_clay_perc_5,sg_clay_perc_25,sg_clay_perc_50,sg_clay_perc_75,sg_clay_perc_90,sg_clay_perc_skewness,sg_clay_perc_missing,sg_organic_perc,sg_organic_perc_5,sg_organic_perc_25,sg_organic_perc_50,sg_organic_perc_75,sg_organic_perc_90,sg_organic_perc_skewness,sg_organic_perc_missing,sg_bulk_dens,sg_bulk_dens_5,sg_bulk_dens_25,sg_bulk_dens_50,sg_bulk_dens_75,sg_bulk_dens_90,sg_bulk_dens_skewness,sg_bulk_dens_missing,sg_tot_avail_water,sg_tot_avail_water_5,sg_tot_avail_water_25,sg_tot_avail_water_50,sg_tot_avail_water_75,sg_tot_avail_water_90,sg_tot_avail_water_skewness,sg_tot_avail_water_missing,sg_root_depth,sg_root_depth_5,sg_root_depth_25,sg_root_depth_50,sg_root_depth_75,sg_root_depth_90,sg_root_depth_skewness,sg_root_depth_missing,sg_soil_depth,sg_soil_depth_5,sg_soil_depth_25,sg_soil_depth_50,sg_soil_depth_75,sg_soil_depth_90,sg_soil_depth_skewness,sg_soil_depth_missing
2021,43.395,36.417,40.204,43.19,46.333,51.205,0.046,8.23,34.145,30.51,32.783,34.222,35.647,37.562,-0.035,8.23,22.458,15.741,19.613,22.802,25.114,29.052,-0.088,8.23,2.416,1.044,1.54,2.078,2.977,4.398,0.233,8.23,1.403,1.287,1.358,1.418,1.453,1.479,-0.245,8.23,142.993,126.302,133.618,141.227,150.664,166.811,0.142,8.23,18.082,14.709,16.926,18.3,19.888,19.98,-0.12,8.23,204.606,123.543,179.473,207.517,233.927,271.284,-0.066,8.23
2022,51.871,40.044,47.958,52.764,56.394,60.863,-0.142,5.7,32.954,29.058,31.419,32.982,34.494,36.709,-0.012,5.7,15.17,8.181,11.397,14.124,18.264,25.113,0.201,5.7,3.559,1.258,2.369,3.437,4.311,6.325,0.067,5.7,1.341,1.197,1.284,1.344,1.409,1.471,-0.027,5.7,159.044,131.16,147.549,158.988,170.498,187.782,0.003,5.7,14.424,7.367,10.558,15.336,18.004,19.956,-0.215,5.7,154.451,17.442,84.803,165.388,218.658,277.607,-0.131,5.7
2023,52.596,42.423,47.994,52.14,57.234,63.422,0.07,24.01,33.283,28.125,31.333,33.373,35.353,38.103,-0.029,24.01,14.116,6.92,10.591,13.961,17.291,22.173,0.033,24.01,4.29,1.627,3.089,4.075,5.06,7.575,0.106,24.01,1.29,1.147,1.24,1.295,1.344,1.421,-0.058,24.01,164.092,136.615,151.823,163.118,175.442,193.23,0.057,24.01,11.562,4.554,7.348,10.806,15.907,19.421,0.155,24.01,108.382,9.239,45.113,105.062,162.644,224.276,0.047,24.01
2024,54.765,44.138,51.245,55.416,58.811,63.023,-0.115,20.02,32.23,27.852,30.459,32.181,33.967,36.727,0.018,20.02,12.997,7.243,9.779,12.048,15.559,21.715,0.214,20.02,3.774,1.524,2.79,3.551,4.396,6.906,0.134,20.02,1.336,1.182,1.287,1.348,1.397,1.455,-0.139,20.02,160.459,136.229,149.884,159.813,170.034,187.626,0.041,20.02,11.898,6.45,8.748,10.973,14.732,19.927,0.224,20.02,120.256,12.684,53.148,109.317,180.909,258.558,0.138,20.02
2025,54.012,42.597,49.618,54.507,58.675,64.004,-0.076,12.29,33.129,27.872,30.953,33.202,35.32,38.088,-0.023,12.29,12.854,6.53,9.293,12.128,15.962,21.384,0.158,12.29,4.46,1.983,3.303,4.158,5.157,7.847,0.152,12.29,1.27,1.113,1.216,1.277,1.328,1.413,-0.079,12.29,169.015,139.329,155.899,169.055,181.307,199.354,-0.002,12.29,10.353,4.489,6.735,8.949,14.455,18.362,0.309,12.29,93.095,0.922,32.313,78.854,147.308,220.134,0.201,12.29
2026,50.265,36.755,44.367,50.98,56.494,61.796,-0.091,18.6,33.339,28.557,31.34,33.246,35.296,38.393,0.031,18.6,16.389,8.068,11.289,15.889,21.178,26.329,0.084,18.6,3.35,1.251,2.262,3.141,4.062,6.418,0.125,18.6,1.364,1.206,1.304,1.367,1.433,1.503,-0.03,18.6,152.256,123.713,138.012,152.356,165.106,182.951,-0.005,18.6,14.485,6.872,10.052,15.46,19.482,19.978,-0.204,18.6,140.72,16.77,79.49,143.477,199.442,263.637,-0.036,18.6
2027,50.265,36.755,44.367,50.98,56.494,61.796,-0.091,18.6,33.339,28.557,31.34,33.246,35.296,38.393,0.031,18.6,16.389,8.068,11.289,15.889,21.178,26.329,0.084,18.6,3.35,1.251,2.262,3.141,4.062,6.418,0.125,18.6,1.364,1.206,1.304,1.367,1.433,1.503,-0.03,18.6,152.256,123.713,138.012,152.356,165.106,182.951,-0.005,18.6,14.485,6.872,10.052,15.46,19.482,19.978,-0.204,18.6,140.72,16.77,79.49,143.477,199.442,263.637,-0.036,18.6
2028,50.265,36.755,44.367,50.98,56.494,61.796,-0.091,18.6,33.339,28.557,31.34,33.246,35.296,38.393,0.031,18.6,16.389,8.068,11.289,15.889,21.178,26.329,0.084,18.6,3.35,1.251,2.262,3.141,4.062,6.418,0.125,18.6,1.364,1.206,1.304,1.367,1.433,1.503,-0.03,18.6,152.256,123.713,138.012,152.356,165.106,182.951,-0.005,18.6,14.485,6.872,10.052,15.46,19.482,19.978,-0.204,18.6,140.72,16.77,79.49,143.477,199.442,263.637,-0.036,18.6
2029,43.532,34.252,38.409,42.22,47.95,56.584,0.189,8.47,35.551,30.666,33.525,35.505,37.524,40.61,0.015,8.47,20.911,11.172,17.787,22.009,24.423,27.779,-0.217,8.47,2.827,1.093,1.855,2.619,3.453,5.221,0.143,8.47,1.395,1.242,1.332,1.395,1.479,1.514,-0.005,8.47,141.377,122.52,129.509,136.912,150.667,173.442,0.279,8.47,17.402,7.778,16.366,19.417,19.942,19.988,-0.512,8.47,158.277,43.265,117.034,162.815,200.967,255.302,-0.073,8.47
2030,50.474,40.192,46.274,50.012,54.38,61.798,0.072,15.64,33.685,28.84,32.022,33.867,35.553,37.866,-0.065,15.64,15.833,7.951,12.566,15.789,18.972,24.133,0.009,15.64,3.873,1.583,2.768,3.634,4.622,6.712,0.13,15.64,1.32,1.18,1.273,1.328,1.375,1.438,-0.095,15.64,156.981,133.151,145.06,154.672,167.758,186.991,0.14,15.64,13.365,5.556,9.002,14.623,17.379,19.928,-0.263,15.64,119.136,16.688,63.587,118.769,170.951,226.578,0.005,15.64
